지역,풍속,높이,풍하중
속초,33.99,5,592.9321397528927
속초,33.99,6,596.8265932588213
속초,33.99,7,600.7337945667334
속초,33.99,8,604.6537436766289
속초,33.99,9,608.5864405885078
속초,33.99,10,612.5318853023701
속초,33.99,11,616.4900778182158
속초,33.99,12,620.4610181360449
속초,33.99,13,624.4447062558573
속초,33.99,14,628.4411421776535
속초,33.99,15,632.4503259014325
속초,33.99,16,636.4722574271954
속초,33.99,17,640.5069367549415
속초,33.99,18,644.5543638846709
속초,33.99,19,648.614538816384
속초,33.99,20,652.68746155008
속초,33.99,21,656.7731320857599
속초,33.99,22,660.8715504234227
속초,33.99,23,664.9827165630695
속초,33.99,24,669.1066305046992
속초,33.99,25,673.2432922483125
속초,33.99,26,677.3927017939094
속초,33.99,27,681.5548591414895
속초,33.99,28,685.7297642910527
속초,33.99,29,689.9174172425996
속초,33.99,30,694.11781799613
속초,33.99,31,698.3309665516438
속초,33.99,32,702.5568629091409
속초,33.99,33,706.7955070686212
속초,33.99,34,711.0468990300852
속초,33.99,35,715.3110387935329
속초,33.99,36,719.5879263589633
속초,33.99,37,723.8775617263775
속초,33.99,38,728.1799448957747
속초,33.99,39,732.4950758671561
속초,33.99,40,736.82295464052
속초,33.99,41,741.1635812158678
속초,33.99,42,745.516955593199
속초,33.99,43,749.8830777725133
속초,33.99,44,754.2619477538112
속초,33.99,45,758.6535655370928
속초,33.99,46,763.0579311223573
속초,33.99,47,767.4750445096053
속초,33.99,48,771.9049056988371
속초,33.99,49,776.3475146900518
속초,33.99,50,780.8028714832501
속초,33.99,51,785.2709760784315
속초,33.99,52,789.751828475597
속초,33.99,53,794.2454286747453
속초,33.99,54,798.7517766758772
속초,33.99,55,803.2708724789926
속초,33.99,56,807.8027160840913
속초,33.99,57,812.3473074911732
속초,33.99,58,816.9046467002391
속초,33.99,59,821.4747337112877
속초,33.99,60,826.05756852432
속초,33.99,61,830.6531511393358
속초,33.99,62,835.2614815563351
속초,33.99,63,839.8825597753173
속초,33.99,64,844.5163857962832
속초,33.99,65,849.1629596192325
속초,33.99,66,853.8222812441653
속초,33.99,67,858.4943506710812
속초,33.99,68,863.179167899981
속초,33.99,69,867.8767329308638
속초,33.99,70,872.5870457637301
